student_id,gender,cgpa,internships,projects,aptitude_score,communication_skill,certifications,placement_training,placement_status
1,Male,5.12,2,2,54,3,5,Yes,Yes
2,Male,7.83,0,1,45,4,1,Yes,Yes
3,Male,8.44,4,4,54,8,4,No,Yes
4,Male,8.64,1,6,67,6,2,Yes,Yes
5,Male,9.59,2,1,45,7,0,No,Yes
6,Female,7.9,0,6,69,9,0,No,Yes
7,Male,7.65,4,3,76,4,5,Yes,Yes
8,Male,8.17,2,1,94,4,0,No,Yes
9,Female,7.18,2,2,63,6,1,No,Yes
10,Male,7.92,1,5,86,4,1,No,Yes
11,Female,6.3,4,2,83,6,0,Yes,Yes
12,Male,8.86,3,3,44,4,4,No,Yes
13,Male,8.15,3,6,69,3,2,Yes,Yes
14,Male,8.58,4,3,87,10,3,No,Yes
15,Female,6.05,1,5,71,2,0,Yes,Yes
16,Male,8.01,3,5,44,7,3,No,Yes
17,Female,9.66,0,6,86,2,5,No,Yes
18,Female,5.54,3,2,69,1,5,No,Yes
19,Male,7.44,0,6,59,9,4,Yes,Yes
20,Male,6.79,1,5,89,9,0,No,Yes
21,Female,5.09,2,3,55,1,1,Yes,Yes
22,Male,8.51,0,5,89,3,1,No,Yes
23,Male,6.27,4,4,53,9,5,Yes,Yes
24,Female,6.92,2,4,97,9,3,Yes,Yes
25,Male,6.08,2,1,77,9,1,Yes,Yes
26,Male,5.34,0,2,44,1,2,Yes,No
27,Male,6.34,3,2,74,3,5,No,Yes
28,Male,8.77,3,2,46,2,5,No,Yes
29,Female,7.03,3,6,43,2,0,No,Yes
30,Female,8.84,0,2,52,4,4,No,Yes
31,Male,7.03,2,4,55,2,3,Yes,Yes
32,Male,8.13,4,1,45,4,1,No,Yes
33,Female,7.31,3,1,50,7,0,No,Yes
34,Female,9.45,3,3,67,9,5,No,Yes
35,Male,5.91,1,1,77,9,0,No,Yes
36,Male,5.24,3,5,98,9,1,Yes,Yes
37,Male,9.09,0,5,44,4,3,Yes,Yes
38,Male,7.78,0,5,45,7,5,No,Yes
39,Female,5.98,2,2,56,7,1,No,Yes
40,Female,6.52,0,1,69,10,4,Yes,Yes
41,Male,7.58,4,3,48,6,0,Yes,Yes
42,Female,6.37,3,5,85,5,4,Yes,Yes
43,Female,9.47,0,2,56,2,0,Yes,Yes
44,Female,6.35,1,6,61,4,5,No,Yes
45,Female,6.21,0,1,80,7,2,Yes,Yes
46,Male,6.6,1,6,56,3,5,No,Yes
47,Female,7.69,0,1,100,3,4,Yes,Yes
48,Female,7.8,1,4,48,1,2,No,Yes
49,Male,9.31,1,6,55,2,2,No,Yes
50,Male,9.44,1,2,91,3,3,Yes,Yes
51,Male,8.54,2,4,91,4,2,Yes,Yes
52,Male,6.84,0,4,54,4,3,No,Yes
53,Female,8.94,1,2,41,4,3,No,Yes
54,Female,9.15,2,3,81,9,3,No,Yes
55,Male,5.55,2,2,77,5,0,Yes,Yes
56,Female,6.66,2,4,78,9,0,No,Yes
57,Male,6.22,3,1,73,9,5,Yes,Yes
58,Female,7.07,2,5,60,2,5,No,Yes
59,Female,8.2,2,4,84,5,4,Yes,Yes
60,Male,7.02,3,6,87,3,4,No,Yes
61,Female,7.63,0,3,58,4,3,No,Yes
62,Female,7.12,1,5,70,3,5,Yes,Yes
63,Female,7.47,4,3,45,4,5,No,Yes
64,Male,8.87,1,1,42,4,3,Yes,Yes
65,Female,6.99,4,2,85,7,3,No,Yes
66,Male,5.71,0,1,89,7,1,Yes,Yes
67,Female,5.24,1,1,69,3,3,No,No
68,Female,7.94,4,4,93,9,3,Yes,Yes
69,Female,7.16,1,6,57,9,3,Yes,Yes
70,Female,7.11,2,2,57,6,2,Yes,Yes
71,Male,5.72,3,6,49,4,0,No,Yes
72,Female,6.59,3,4,43,4,3,No,Yes
73,Male,9.11,4,4,70,1,2,No,Yes
74,Female,9.1,3,5,87,9,4,Yes,Yes
75,Female,6.05,3,4,41,7,2,No,Yes
76,Male,9.03,1,5,74,1,3,Yes,Yes
77,Male,8.09,1,4,51,1,2,No,Yes
78,Female,6.02,2,3,88,7,2,No,Yes
79,Female,9.01,3,1,87,9,0,No,Yes
80,Male,8.12,0,1,100,4,1,Yes,Yes
81,Male,6.15,3,6,47,10,1,No,Yes
82,Female,8.68,1,5,78,2,1,No,Yes
83,Male,7.78,2,5,83,7,3,Yes,Yes
84,Male,7.84,1,1,84,5,5,Yes,Yes
85,Male,6.67,3,6,63,2,4,No,Yes
86,Male,9.08,3,1,67,6,5,No,Yes
87,Male,7.09,4,6,57,10,4,No,Yes
88,Female,7.09,4,3,60,4,0,No,Yes
89,Female,6.17,3,5,79,7,2,Yes,Yes
90,Female,9.08,1,4,53,6,2,No,Yes
91,Female,9.23,2,5,40,9,1,Yes,Yes
92,Male,8.46,3,5,88,4,5,No,Yes
93,Female,7.15,0,1,58,4,3,Yes,Yes
94,Female,8.19,2,4,75,9,2,No,Yes
95,Female,6.69,3,3,59,5,1,Yes,Yes
96,Male,6.51,4,6,51,4,1,No,Yes
97,Female,8.48,4,5,58,2,1,No,Yes
98,Male,6.73,2,1,85,9,1,No,Yes
99,Male,9.68,4,3,84,3,5,No,Yes
100,Male,9.19,4,3,70,8,3,No,Yes
101,Male,9.63,2,4,47,2,3,No,Yes
102,Male,7.77,0,2,49,10,2,Yes,Yes
103,Male,5.57,3,5,78,10,1,No,Yes
104,Female,9.36,2,5,67,5,4,Yes,Yes
105,Male,9.55,1,6,53,5,5,Yes,Yes
